node1	node2
CX3CR1	IL1B
TFG	TRIM25
TFG	TGFA
TFG	NTRK1
PDCD6	KDR
WHAMM	ACTB
ADAM17	SORT1
TNFRSF9	TRAF1
VLDLR	PAFAH1B1
CD33	BIN1
CD33	PICALM
COL6A3	CASP8
HDAC5	CAMK2G
HDAC5	CAMK2A
RASGRF1	PI4KA
SH2B1	SEC16B
IFNL3	IFNB1
IFNL3	IFNAR1
ARHGDIA	GIPC1
ARHGDIA	RAC3
CD9	CD63
CD163	TNFSF12
MTMR4	SMAD2
MTMR4	SMAD3
MTMR4	PLCG1
BGN	SDC3
BGN	SDC1
BGN	CD44
BGN	GPC1
BGN	DAG1
BGN	SDC4
BGN	SDC2
BGN	FN1
BGN	AGRN
HDAC6	DYNC1H1
SLC9A3R2	PRKCA
SLC9A3R2	PTEN
SMARCA4	ACTG1
HDAC2	GRIA2
AGTRAP	ARAF
AGTRAP	CAMK2B
AGTRAP	RAF1
AGTRAP	GNB2L1
AGTRAP	JAK2
AGTRAP	AGT
TCF7L2	ADCY7
PRKG1	TBXA2R
PRKG1	ITPR1
PRKG1	VASP
PRKG1	RHOA
PRKG1	
PRKG1	PLCB1
ARHGDIB	RHOQ
ARHGDIB	RAC3
NEDD9	MICAL1
CASP6	SORT1
CASP6	ACTG1
HAP1	BDNF
HAP1	HTT
EPHA3	RUFY2
EPHA3	RUFY1
GGA1	APP
NOS1	CALM2
NOS1	CACNA1C
NOS1	CACNA1D
NOS1	CAMK2A
TLE1	GNA14
COL6A1	CASP8
GATA3	IL10
CASP9	UACA
KALRN	RAC3
NOS2	IL10
NOS2	CALM1
NOS2	CALM2
SPHK2	HDAC1
FHL2	UNC13D
ACTR3B	ACTB
ATM	SYN1
ATM	VAMP2
ATM	AP2B1
LGALS3	UACA
LGALS3	SUFU
CDH17	AXIN1
CDH17	PSEN1
CDH17	LRP5
PRKD1	ARF1
PRKD1	PI4KB
PPARG	ACTG1
CD1D	AP3B1
AP4M1	SPP1
AP4M1	APP
FKBP1A	ITPR1
FKBP1A	RHOA
FKBP1A	ITPR3
PTPN22	TRAF1
PSMD4	PIP5K1A
SPTAN1	CALM2
SPTAN1	STXBP1
CALM3	EGFR
CALM3	IQGAP1
CALM3	SELL
CALM3	NOS1
CALM3	NOS3
CALM3	FAS
CALM3	NOS2
CALM3	SNCA
CALM3	ESR1
CALM3	NGFR
CALM3	SPTAN1
CALM3	MAPT
CALM3	CAMK2B
IFNL2	IFNAR1
IFNL2	IFNB1
ESR2	GNA14
CALM1	KRAS
CALM1	SNCA
CALM1	CAMK2B
CALM1	MAPT
CALM1	NGFR
CALM1	ESR1
CALM1	SPTAN1
CALM1	NOS1
CALM1	EGFR
CALM1	HSP90AA1
CALM1	SELL
CALM1	NOS3
CALM1	IQGAP1
CALM1	FAS
TNFSF13B	FAM160A2
EPN3	FGFR4
EPN3	FGFR3
RGS3	YWHAZ
RGS3	SMAD2
ARR3	RHO
ARR3	CLTC
ARR3	CLTCL1
ARR3	RAB11A
JUND	GRIA2
ARNT	TRIP11
LIMS1	PPP1CA
F2	AP2M1
F2	AP2A1
PPP1R15B	NCK1
PPP1R15B	ACTA1
ARHGEF1	LAMTOR1
SMURF2	DYNLRB1
IRF2	HLA-A
TNFRSF13C	CD19
TNFRSF13C	PIK3CD
CXCR5	FOXP3
CXCR5	BCL6
CXCR5	CD40LG
HSF1	CAMK2G
HSF1	CAMK2A
HLA-E	IRF9
HLA-E	STAT1
HLA-E	IRF4
HLA-E	STAT2
HLA-E	IRF3
BIN1	MAPT
BIN1	WAS
BIN1	APP
BIN1	CDK5
BIN1	WASL
BIN1	ABL1
BIN1	TP73
BIN1	MYC
COL6A2	CASP8
PSMB8	HLA-A
CARM1	
PPP4R1	NCK1
COL4A2	CASP8
BLOC1S2	BRCA1
ITPK1	INPP5D
CDIPT	PIK3R3
CDIPT	PIK3R2
CDIPT	PRRT2
CDIPT	PIK3R1
CDIPT	PIK3CG
CDIPT	PTEN
ARID1A	ACTG1
SPI1	LCP1
VCP	STX5
VCP	ALS2
VCP	DYNC1LI1
VCP	DYNC1H1
VCP	COG4
IL33	IL10
FES	AMPH
FES	TRIP10
FES	FCHO1
NOTCH4	RAB6A
NOTCH4	TMED2
HLA-F	HLA-A
HLA-F	B2M
HLA-F	HLA-DRB1
HLA-F	CD8A
HLA-F	HLA-DRA
CASP7	ACTG1
GJA1	ITGA5
UBQLN2	ARRB1
UBQLN2	YAP1
UBQLN2	ADRB2
UBQLN2	ARRB2
UBQLN2	VCP
UBQLN2	SQSTM1
UBQLN2	HTT
VDAC1	DYNLT1
COL1A2	SMAD2
COL1A2	CASP8
AP1G2	NEDD4
DIABLO	ICAM1
DIABLO	PRKCD
KLRG1	LEPROTL1
CYCS	UACA
CYCS	SORT1
IFNA7	IFNAR2
E2F1	SORT1
ZNF274	SORT1
GRIN1	
GRIN1	PPP1CA
GRIN1	LRP8
GRIN1	PPP1CB
LRIG1	RPS27A
LRIG1	
LRIG1	UBA52
LRIG1	UBB
BIRC5	EVI5
SELP	RAB27B
SELP	CD63
SELP	AP2M1
GZMB	CASP10
GZMB	IGF2R
GZMB	M6PR
SGK1	PIKFYVE
SGK1	SLC9A3R2
SUFU	PRKAR1A
GRIN2A	PRKACG
GRIN2A	CAMK2B
GRIN2A	PRKACA
GRIN2A	RASGRF1
GRIN2A	RELN
GRIN2A	NRG1
GRIN2A	NOS1
GRIN2A	ERBB4
GRIN2A	PRKACB
GRIN2A	FYN
GRIN2A	SRC
GRIN2A	CDK5
GRIN2A	APP
GRIN2A	DAB1
GRIN2A	IQGAP1
GRIN2A	PTK2B
GRIN2A	BDNF
LRP1	SLC2A4
IFNA10	IFNAR2
CD300C	FCER1G
CD300C	TYROBP
CD300C	PTPN6
ARF3	INS
ARF3	RHOA
SKP1	GDI2
SKP1	GDI1
SKP1	EXOC5
PDE3B	PRKACA
PDE3B	AKT2
PDE3B	AKT1
PDE3B	YWHAB
PDE3B	AKT3
FGF8	WNT3A
CNEP1R1	NCK1
MEF2C	CAMK2G
MEF2C	RAB28
MEF2C	CAMK2A
MEF2C	
PPP1R12A	ILK
PPP1R12A	CDC42
PPP1R12A	MSN
PPP1R12A	RAC1
PPP1R12A	PAK3
PPP1R12A	EZR
PPP1R12A	NCK1
PPP1R12A	PAK1
PPP1R12A	MYH9
PPP1R12A	RHOA
LNPEP	RAB8A
LNPEP	YKT6
LNPEP	STX4
LNPEP	RAB13
LNPEP	RAB10
LNPEP	VAMP2
LNPEP	RHOQ
LNPEP	RAB14
LNPEP	RAB28
LNPEP	TRIP10
PPP4R4	NCK1
TLR7	IL10
CSNK1E	GAPVD1
AAK1	NUMB
MEF2D	
MEF2D	CAMK2A
MEF2D	RAB28
MEF2D	CAMK2G
STK11	IPMK
STK11	NISCH
STK11	GOLGA2
IFNA6	PTPN11
IFNA6	PTPN1
IFNA6	PTPN6
FZD7	SDC4
FZD7	FN1
FZD7	SDCBP
FZD7	RAC2
FZD7	GNAS
ENSP00000417517	IL10
CHMP2B	STAM2
CHMP2B	HGS
CHMP2B	TSG101
CHMP2B	STAM
MMP9	LMAN1
IFNA8	IFNAR2
ROCK2	PPP1CA
ROCK2	PPP1CB
ROCK2	KIF5B
ROCK2	PPP1CC
ROCK2	PPP1R12A
CACNG2	CAMK2B
MYL12A	PPP1R12A
MYL12A	PPP1CB
MYL12A	PPP1CC
MYL12A	PPP1CA
SMAD7	ENG
LILRB2	CD14
LILRB2	TLR2
LILRB2	NCF2
TNS1	PPP1CA
ENG	FKBP1A
ENG	PPP1CA
PPP3R1	ITPR1
PPP3R1	ITPR3
PPP3R1	PLCG2
PPP3R1	NCK1
FGF10	WNT3A
NEDD4	EPS15
NEDD4	GRIA1
FZD4	GNAO1
FZD4	PRKCA
FZD4	PRKCG
FZD4	SLC9A3R1
FZD4	PRKCB
TNFRSF4	SORT1
CYTH2	ARF1
KAT2B	MYO1C
GIPC1	DNM1
GIPC1	MYO6
GIPC1	NGF
